"Mas","Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alphat","nuTilda","nut","p","pFluc","pMean","rho"
0.85859,1.1692,-0.016026,0,277.42,0,0,0,0,0,0,62613,-7076.6,69690,0.78449
0.85783,1.1694,-0.015842,0,277.27,0,0,0,0,0,0,62663,-7008.3,69671,0.78555
0.85024,1.1695,-0.015649,0,277.76,0,0,0,0,0,0,63161,-6462,69623,0.7904
0.84995,1.1697,-0.015446,0,277.66,0,0,0,0,0,0,63180,-6432.7,69613,0.79091
0.84965,1.1698,-0.015233,0,277.46,0,0,0,0,0,0,63200,-6410.8,69611,0.79173
0.85226,1.17,-0.01501,0,277.29,0,0,0,0,0,0,63029,-6442.2,69471,0.79006
0.85731,1.1702,-0.014779,0,277.01,0,0,0,0,0,0,62698,-6613.1,69311,0.78672
0.85447,1.1704,-0.014537,0,277.09,0,0,0,0,0,0,62883,-6421.3,69305,0.78882
0.85245,1.1706,-0.014284,0,277.02,0,0,0,0,0,0,63016,-6360.1,69376,0.79068
0.85444,1.1708,-0.014018,0,276.47,0,0,0,0,0,0,62886,-6534.8,69421,0.79061
0.8523,1.171,-0.013753,0,276.62,0,0,0,0,0,0,63026,-6295.1,69321,0.79196
0.85089,1.1713,-0.013491,0,276.99,0,0,0,0,0,0,63119,-6091.9,69211,0.79207
